var1,var2,var3,score,d12,d13,d23
bjets_pt_bb,bjets_dR,bjets_mean_pt,0.2921283383566076,0.12258617926090642,0.30725911766105574,0.44653971814786064
bjets_dR,bjets_mean_pt,all_sT,0.2807087535611325,0.44653971814786064,0.29468855529928034,0.10089798723625665
bjets_dR,bjets_mbb,bjets_mean_pt,0.27337806755034905,0.1936223812733563,0.44653971814786064,0.17997210322983015
bjets_dR,bjets_mean_pt,all_jets_HT,0.26433369209018553,0.44653971814786064,0.29301274306369696,0.053448615058999005
bjets_dR,bjets_mean_pt,blnu_mT,0.2542750644394791,0.44653971814786064,0.2973401098403525,0.01894536533022434
bjets_dR,bjet_bijet_dR,bjets_mean_pt,0.24839309635003,0.03297559541731526,0.44653971814786064,0.2656639754849141
bjets_pt_bb,bjet_bijet_dR,bjets_mean_pt,0.22380173577700338,0.09848211418504033,0.30725911766105574,0.2656639754849141
bjets_dR,blnu_mT,all_jets_HT,0.2215075256949893,0.2973401098403525,0.29301274306369696,0.0741697241809185
bjets_dR,bb_lnu_dR,bjets_mean_pt,0.21464234451005973,0.08824671495125401,0.44653971814786064,0.10914060043106451
bjets_dR,blnu_mT,all_sT,0.21207685213215136,0.2973401098403525,0.29468855529928034,0.04420189125682128
bjets_dR,bjets_mean_pt,met_pt,0.2105891233861313,0.44653971814786064,0.07980620253622672,0.10542144947430657
bjets_pt_bb,bjets_dR,all_sT,0.20807897695039682,0.12258617926090642,0.2069621962910037,0.29468855529928034
bjets_pt_bb,bjets_mean_pt,all_sT,0.20503976706277205,0.30725911766105574,0.2069621962910037,0.10089798723625665
bjets_dR,all_sT,all_jets_HT,0.20320371286130381,0.29468855529928034,0.29301274306369696,0.02190984022093423
bjets_dR,bjets_mbb,blnu_mT,0.20183150337466657,0.1936223812733563,0.2973401098403525,0.11453201901029098
bjets_pt_bb,bb_lnu_dR,bjets_mean_pt,0.20130163100605644,0.18750517492604907,0.30725911766105574,0.10914060043106451
bjets_pt_bb,bjets_dR,all_jets_HT,0.20112783807978415,0.12258617926090642,0.187784591914749,0.29301274306369696
bjets_dR,blnu_pt,bjets_mean_pt,0.1991715641037122,0.0529308997769463,0.44653971814786064,0.09804407438632967
bjets_dR,bjets_mbb,all_jets_HT,0.19378980885566058,0.1936223812733563,0.29301274306369696,0.09473430222992857
bjets_pt_bb,bjets_mbb,bjets_mean_pt,0.19308307746844008,0.09201801151443437,0.30725911766105574,0.17997210322983015
bjets_mbb,bjet_bijet_dR,bjets_mean_pt,0.18782326371577343,0.1178337124325761,0.17997210322983015,0.2656639754849141
bjets_pt_bb,bjets_dR,blnu_mT,0.18673169467705594,0.12258617926090642,0.1402687949299089,0.2973401098403525
bjets_dR,bjets_mbb,all_sT,0.18557878877130374,0.1936223812733563,0.29468855529928034,0.06842542974127458
bjets_pt_bb,bjets_mean_pt,all_jets_HT,0.1828307748782679,0.30725911766105574,0.187784591914749,0.053448615058999005
bjet_bijet_dR,bb_lnu_dR,bjets_mean_pt,0.17825642178269518,0.1599646894321069,0.2656639754849141,0.10914060043106451
bjets_dR,bb_lnu_dR,blnu_mT,0.1719367622717114,0.08824671495125401,0.2973401098403525,0.13022346202352764
bjets_dR,blnu_pt,blnu_mT,0.17058718340470613,0.0529308997769463,0.2973401098403525,0.16149054059681955
bjets_dR,blnu_pt,all_jets_HT,0.16970341478740422,0.0529308997769463,0.29301274306369696,0.16316660152156937
bjets_pt_bb,bjets_mean_pt,met_pt,0.1672558520967686,0.30725911766105574,0.08908698915494352,0.10542144947430657
jj_lnu_dPhi,bjets_dR,bjets_mean_pt,0.164334789273153,0.028069380913158123,0.018395268758440275,0.44653971814786064
bjet_bijet_dR,bjets_mean_pt,all_sT,0.16416212892492718,0.2656639754849141,0.1259244240536108,0.10089798723625665
bjets_dR,bjets_dPhi,bjets_mean_pt,0.1615681832020276,0.02191866624057564,0.44653971814786064,0.01624616521764647
bjets_pt_bb,bb_lnu_dR,all_sT,0.1601103015203775,0.18750517492604907,0.2069621962910037,0.08586353334407967
bjets_dR,blnu_pt,all_sT,0.15935597542585347,0.0529308997769463,0.29468855529928034,0.13044847120133374
bjets_dR,bb_lnu_dR,all_jets_HT,0.15649724058143408,0.08824671495125401,0.29301274306369696,0.08823226372935125
bjets_dR,bb_lnu_dR,all_sT,0.15626626786487133,0.08824671495125401,0.29468855529928034,0.08586353334407967
bjets_pt_bb,bjets_mean_pt,blnu_mT,0.15549109264039632,0.30725911766105574,0.1402687949299089,0.01894536533022434
bjets_dR,bjets_mean_pt,trijet_bijet_dEta,0.15514333636663835,0.44653971814786064,0.006783182272184257,0.012107108679870136
bjets_pt_bb,bb_lnu_dR,all_jets_HT,0.1545073435233831,0.18750517492604907,0.187784591914749,0.08823226372935125
bjets_dR,bjet_bijet_dR,all_jets_HT,0.15269981097697383,0.03297559541731526,0.29301274306369696,0.1321110944499093
bjets_pt_bb,bb_lnu_dR,blnu_mT,0.1526658106264952,0.18750517492604907,0.1402687949299089,0.13022346202352764
bjets_dR,bjets_mean_pt,bjets_dEta,0.15192638644281145,0.44653971814786064,0.007829379883086742,0.0014100612974870081
bjets_dR,bb_lnu_dPhi,bjets_mean_pt,0.15133009783106116,0.0031635996788646386,0.44653971814786064,0.004286975666458193
bjets_dR,bjet_bijet_dR,all_sT,0.1511961915900688,0.03297559541731526,0.29468855529928034,0.1259244240536108
bjet_bijet_dR,bjets_mean_pt,all_jets_HT,0.1504078949979408,0.2656639754849141,0.1321110944499093,0.053448615058999005
bjets_pt_bb,bjet_bijet_dR,bb_lnu_dR,0.14865065951439876,0.09848211418504033,0.18750517492604907,0.1599646894321069
bjets_pt_bb,bjet_bijet_dR,all_sT,0.1437895781765516,0.09848211418504033,0.2069621962910037,0.1259244240536108
bjets_pt_bb,bjet_bijet_dR,all_jets_HT,0.13945926684989954,0.09848211418504033,0.187784591914749,0.1321110944499093
bjets_pt_bb,all_sT,all_jets_HT,0.13888554280889565,0.2069621962910037,0.187784591914749,0.02190984022093423
bjets_pt_bb,bjets_dR,bjets_mbb,0.13607552401623235,0.12258617926090642,0.09201801151443437,0.1936223812733563
bjets_dR,bjet_bijet_dR,blnu_mT,0.135642100414754,0.03297559541731526,0.2973401098403525,0.07661059598659428
bjets_pt_bb,blnu_pt,bjets_mean_pt,0.13561738321641573,0.0015489576018617723,0.30725911766105574,0.09804407438632967
bjets_pt_bb,blnu_mT,all_jets_HT,0.1340743703418588,0.1402687949299089,0.187784591914749,0.0741697241809185
bjets_dR,met_pt,all_jets_HT,0.1336474418887026,0.07980620253622672,0.29301274306369696,0.02812338006618406
bjet_bijet_dR,blnu_pt,bjets_mean_pt,0.13359856481125346,0.03708764456251662,0.2656639754849141,0.09804407438632967
blnu_pt,blnu_mT,all_jets_HT,0.1329422887664358,0.16149054059681955,0.16316660152156937,0.0741697241809185
bjets_pt_bb,bjets_dR,bb_lnu_dR,0.13277935637940316,0.12258617926090642,0.18750517492604907,0.08824671495125401
bjets_dR,met_pt,blnu_mT,0.1322361200095654,0.07980620253622672,0.2973401098403525,0.019562047652117
bjets_pt_bb,blnu_mT,all_sT,0.13047762749257796,0.1402687949299089,0.2069621962910037,0.04420189125682128
bjets_dR,met_pt,all_sT,0.12962791487207345,0.07980620253622672,0.29468855529928034,0.014388986780713264
bjet_bijet_dR,bjets_mean_pt,met_pt,0.12848142095552542,0.2656639754849141,0.014358837907355662,0.10542144947430657
bjet_bijet_dR,bb_lnu_dR,all_jets_HT,0.12676934920378913,0.1599646894321069,0.1321110944499093,0.08823226372935125
bjets_pt_bb,bjets_mbb,all_jets_HT,0.12484563521970399,0.09201801151443437,0.187784591914749,0.09473430222992857
bjet_bijet_dR,bb_lnu_dR,all_sT,0.12391754894326579,0.1599646894321069,0.1259244240536108,0.08586353334407967
bjets_pt_bb,bjets_mbb,all_sT,0.12246854584890422,0.09201801151443437,0.2069621962910037,0.06842542974127458
bjet_bijet_dR,bb_lnu_dR,blnu_mT,0.12226624914740962,0.1599646894321069,0.07661059598659428,0.13022346202352764
bjet_bijet_dR,bjets_mean_pt,blnu_mT,0.12040664560057758,0.2656639754849141,0.07661059598659428,0.01894536533022434
bjets_mbb,blnu_pt,bjets_mean_pt,0.11780476183930642,0.07539810790175944,0.17997210322983015,0.09804407438632967
bjets_pt_bb,blnu_pt,all_jets_HT,0.11750005034606004,0.0015489576018617723,0.187784591914749,0.16316660152156937
bjets_mbb,blnu_pt,blnu_mT,0.11714022250295665,0.07539810790175944,0.11453201901029098,0.16149054059681955
bjets_mbb,bjets_mean_pt,all_sT,0.11643184006912045,0.17997210322983015,0.06842542974127458,0.10089798723625665
bjets_pt_bb,bjets_mbb,blnu_mT,0.11560627515154476,0.09201801151443437,0.1402687949299089,0.11453201901029098
bjets_mbb,bjet_bijet_dR,all_jets_HT,0.11489303637080465,0.1178337124325761,0.09473430222992857,0.1321110944499093
bjets_dR,bjets_mbb,bjet_bijet_dR,0.11481056304108254,0.1936223812733563,0.03297559541731526,0.1178337124325761
bjets_mbb,bb_lnu_dR,bjets_mean_pt,0.11466054176196881,0.05486892162501176,0.17997210322983015,0.10914060043106451
jj_lnu_dPhi,bjets_pt_bb,bjets_mean_pt,0.11427561620049341,0.017172462181984195,0.018395268758440275,0.30725911766105574
bjets_pt_bb,blnu_pt,all_sT,0.11298654169806639,0.0015489576018617723,0.2069621962910037,0.13044847120133374
jj_lnu_dPhi,bjets_dR,blnu_mT,0.11266994961851629,0.028069380913158123,0.012600358102038281,0.2973401098403525
bjets_pt_bb,bjets_mean_pt,trijet_bijet_dEta,0.11231584524493239,0.30725911766105574,0.017581309393871297,0.012107108679870136
bjets_dR,bjets_mbb,bb_lnu_dR,0.11224600594987404,0.1936223812733563,0.08824671495125401,0.05486892162501176
blnu_pt,blnu_mT,all_sT,0.11204696768499152,0.16149054059681955,0.13044847120133374,0.04420189125682128
bjets_pt_bb,bjets_mbb,bb_lnu_dR,0.11146403602183175,0.09201801151443437,0.18750517492604907,0.05486892162501176
bjets_mbb,blnu_pt,all_jets_HT,0.11109967055108579,0.07539810790175944,0.09473430222992857,0.16316660152156937
bjets_mbb,bjet_bijet_dR,bb_lnu_dR,0.11088910782989825,0.1178337124325761,0.05486892162501176,0.1599646894321069
bjet_bijet_dR,blnu_pt,all_jets_HT,0.11078844684466509,0.03708764456251662,0.1321110944499093,0.16316660152156937
bjets_pt_bb,bjets_dPhi,bjets_mean_pt,0.11032552149890545,0.007471281618014121,0.30725911766105574,0.01624616521764647
bjets_dR,bjets_dPhi,all_sT,0.10994508640718909,0.02191866624057564,0.29468855529928034,0.013228037681711255
bjets_dR,bjets_dPhi,all_jets_HT,0.10985437567526395,0.02191866624057564,0.29301274306369696,0.014631717721519248
blnu_pt,bjets_mean_pt,all_sT,0.10979684427464002,0.09804407438632967,0.13044847120133374,0.10089798723625665
bjets_dR,trijet_bijet_dEta,blnu_mT,0.10965543431597469,0.006783182272184257,0.2973401098403525,0.024843010835387303
bjets_mbb,bjets_mean_pt,all_jets_HT,0.10938500683958591,0.17997210322983015,0.09473430222992857,0.053448615058999005
bjets_dR,bjets_dPhi,blnu_mT,0.10938049408903862,0.02191866624057564,0.2973401098403525,0.008882706186187733
jj_lnu_dPhi,bjets_dR,all_jets_HT,0.10927907281022849,0.028069380913158123,0.006755094453830402,0.29301274306369696
bb_lnu_dR,blnu_pt,blnu_mT,0.10900847147787074,0.03531141181326505,0.13022346202352764,0.16149054059681955
jj_lnu_dPhi,bjets_dR,all_sT,0.10795048207503793,0.028069380913158123,0.0010935100126753642,0.29468855529928034
bjets_mbb,bjets_mean_pt,met_pt,0.10733057833710051,0.17997210322983015,0.03659818230716484,0.10542144947430657
bjets_dR,bjets_mbb,blnu_pt,0.10731712965068735,0.1936223812733563,0.0529308997769463,0.07539810790175944
bjets_dR,bjets_dEta,blnu_mT,0.1061262046160555,0.007829379883086742,0.2973401098403525,0.01320912412472729
bjets_pt_bb,bb_lnu_dPhi,bjets_mean_pt,0.10608367870882747,0.006704942798968475,0.30725911766105574,0.004286975666458193
bjets_dR,bjets_dEta,all_sT,0.10604047214014949,0.007829379883086742,0.29468855529928034,0.015603481238081345
bjets_dR,bjets_dEta,all_jets_HT,0.10546480441111888,0.007829379883086742,0.29301274306369696,0.015552290286572975
blnu_pt,all_sT,all_jets_HT,0.1051749709812791,0.13044847120133374,0.16316660152156937,0.02190984022093423
bjets_pt_bb,bjet_bijet_dR,blnu_mT,0.1051205017005145,0.09848211418504033,0.1402687949299089,0.07661059598659428
blnu_pt,bjets_mean_pt,all_jets_HT,0.10488643032229934,0.09804407438632967,0.16316660152156937,0.053448615058999005
bjets_mbb,bjets_mean_pt,blnu_mT,0.10448316252344848,0.17997210322983015,0.11453201901029098,0.01894536533022434
bjets_dR,bb_lnu_dPhi,blnu_mT,0.10415854056151118,0.0031635996788646386,0.2973401098403525,0.011971912165316383
bjets_mbb,bjet_bijet_dR,all_sT,0.10406118874248715,0.1178337124325761,0.06842542974127458,0.1259244240536108
bjets_pt_bb,met_pt,all_sT,0.10347939074222016,0.08908698915494352,0.2069621962910037,0.014388986780713264
bjets_dR,bb_lnu_dPhi,all_sT,0.10335662159847893,0.0031635996788646386,0.29468855529928034,0.012217709817291799
bjets_dR,bjets_mbb,met_pt,0.10334225537224928,0.1936223812733563,0.07980620253622672,0.03659818230716484
bjets_pt_bb,bjets_mean_pt,bjets_dEta,0.10319011093570725,0.30725911766105574,0.0009011538485790019,0.0014100612974870081
bjets_mbb,bjet_bijet_dR,blnu_mT,0.10299210914315378,0.1178337124325761,0.11453201901029098,0.07661059598659428
bjets_dR,trijet_bijet_dEta,all_sT,0.10287627456407011,0.006783182272184257,0.29468855529928034,0.007157086120745722
