,i,j,MI_S,MI_B,delta
1143,blnu_lnu_mT,bjets_dPhi,0.021549636387747057,0.0006099703182680175,0.02093966606947904
956,ak4_jet3_pt,blnu_mT,0.027185671583510804,0.04812193587047456,0.020936264286963754
159,all_mInv,bjet_bijet_dEta,0.03538968269965659,0.014472063029539243,0.020917619670117345
315,min_b_l_dPhi,lep0_pt,0.024510435210726315,0.003676839030795246,0.02083359617993107
1293,jj_l_dR,bjet1_pt,0.021048378838837867,0.0002433595652190472,0.02080501927361882
1459,blnu_bl_mInv,trijet_bijet_dPhi,0.021803045771941486,0.0010002474921137622,0.020802798279827724
1375,jj_l_dEta,ak4_jet1_eta,0.048331136158394426,0.027594505598402003,0.020736630559992423
558,WW_pt,trijet_bijet_dR,0.03638445158484085,0.015663047767216325,0.020721403817624523
560,WW_pt,jj_lnu_dEta,0.02127905764954318,0.0005689104734001443,0.020710147176143036
820,ak4_jet0_bscore,ak4_jet3_pt,0.028164555357687877,0.007459627149660232,0.020704928208027645
2129,bb_lnu_dPhi,blnu_pt,0.03842095811178978,0.05909728197783009,0.020676323866040312
1205,jj_lnu_dR,trijet_mInv,0.028786538544213657,0.008274780974918634,0.020511757569295023
1675,bjet1_pt,bjet_bijet_dR,0.025340162184201286,0.004906581699837976,0.02043358048436331
85,ak4_jet0_pt,jj_lnu_dR,0.02499594385171307,0.00469572215586905,0.02030022169584402
599,WW_pt,bjets_dEta,0.020439888931052568,0.0001873579577858983,0.02025253097326667
967,ak4_jet3_pt,bjets_mbb,0.025010318522697056,0.04523004449687551,0.020219725974178454
341,min_b_l_dPhi,nAK4_btag,0.020835874009452998,0.0006246571098504211,0.020211216899602577
357,min_b_l_dPhi,bb_lnu_dEta,0.03060098200087167,0.01040662139137806,0.02019436060949361
391,lep0_pt,trijet_pt,0.03412461875502709,0.054297172606546276,0.020172553851519184
1230,jj_lnu_dR,bjets_dPhi,0.041572128658682,0.02140750298523302,0.02016462567344898
111,ak4_jet0_pt,bb_lnu_dEta,0.02256453981863541,0.0024022845675966097,0.0201622552510388
1993,bb_lnu_dEta,all_jets_HT,0.021620302286703332,0.001502454187889097,0.020117848098814235
383,lep0_pt,min_b_l_dR,0.02556164977488059,0.005469500103744439,0.02009214967113615
608,bjet_bijet_dPhi,ak4_jet0_bscore,0.0210368210655696,0.0010202308135489162,0.020016590252020683
1191,jj_lnu_dEta,jj_lnu_dPhi,0.026446800388985715,0.006432243206072916,0.0200145571829128
1226,jj_lnu_dR,all_jets_HT,0.023803435639240943,0.0038113404508833375,0.019992095188357605
1578,nAK4_nonbtag,bjets_dEta,0.020485033631408252,0.0005276612171215,0.019957372414286752
2059,met_pt,jj_lnu_dPhi,0.047092133849276435,0.027199741714310492,0.019892392134965943
1803,ak4_jet2_eta,WW_mInv,0.026855159550364868,0.007055151767282407,0.01980000778308246
1078,trijet_bijet_dR,bjet1_pt,0.045689866384225584,0.025894221601840513,0.01979564478238507
570,WW_pt,nAK4_nonbtag,0.009420732925330438,0.029199765457054317,0.01977903253172388
150,all_mInv,jj_l_dR,0.04805622772068864,0.028327982379339367,0.019728245341349274
2056,met_pt,bjets_dR,0.019994136099921952,0.0003040974879220601,0.01969003861199989
1614,nAK4_btag,bjets_pt_bb,0.020481683845424606,0.0007922042579705246,0.01968947958745408
1032,jj_l_dPhi,bjet1_pt,0.020066418377897206,0.00038952621639606194,0.019676892161501144
531,min_b_lnu_dPhi,bb_lnu_dEta,0.02904850862467921,0.00937952610246757,0.019668982522211637
851,ak4_jet0_bscore,mjj,0.054946809616967296,0.03528683334333725,0.019659976273630045
1154,blnu_lnu_mT,blnu_pt,0.18699924358159065,0.20661037038642635,0.019611126804835705
1946,lep0_eta,trijet_bijet_dEta,0.03684581769949635,0.01733250171932365,0.019513315980172703
1660,bjet1_pt,trijet_bijet_dPhi,0.04551826809725798,0.026039092393927887,0.019479175703330093
1956,trijet_bijet_dPhi,bb_lnu_dEta,0.02013550069285134,0.0006923167433690348,0.019443183949482305
497,min_b_lnu_dPhi,ak4_jet0_bscore,0.026544205808940513,0.007153518721134906,0.019390687087805607
1409,WW_mT,bjet_bijet_dEta,0.026462569034659014,0.007138092367002705,0.01932447666765631
386,lep0_pt,jj_l_dPhi,0.023926142969385035,0.0432501169724651,0.019323974003080065
1313,jj_l_dR,bjets_dPhi,0.030488355894435406,0.0111805773389325,0.019307778555502905
957,ak4_jet3_pt,bjets_dPhi,0.020348838973202527,0.0010589764661120063,0.01928986250709052
1828,ak4_jet3_eta,WW_mInv,0.025674882864021975,0.00641684095201972,0.019258041912002255
242,ak4_jet2_bscore,bjets_dPhi,0.020030902854773547,0.0007827590184186287,0.019248143836354918
328,min_b_l_dPhi,trijet_bijet_dR,0.026361922960550524,0.0071218758757963935,0.01924004708475413
850,ak4_jet0_bscore,trijet_bijet_dPhi,0.08653800853813687,0.06731056451647427,0.0192274440216626
1472,blnu_bl_mInv,bb_lnu_dPhi,0.02631689591042545,0.007149547900183954,0.019167348010241496
621,bjet_bijet_dPhi,WW_mT,0.02257900811068033,0.00346724441845107,0.01911176369222926
1430,WW_mT,bjets_dPhi,0.022425721608552242,0.0033277076368828304,0.019098013971669412
2134,bjets_dEta,blnu_pt,0.01941652802566791,0.0003271906739944555,0.019089337351673456
2107,all_sT,bjets_mbb,0.05978739451254555,0.07887106283634165,0.019083668323796106
622,bjet_bijet_dPhi,blnu_bl_mInv,0.020436586635675713,0.0013676772297989206,0.019068909405876792
653,bjet_bijet_dPhi,bb_lnu_dPhi,0.1489471970293951,0.12994617874073022,0.019001018288664878
1421,WW_mT,lep0_eta,0.029989949584292137,0.01104937172285672,0.018940577861435416
1148,blnu_lnu_mT,bb_lnu_dPhi,0.024265460879904503,0.0053541823671327295,0.018911278512771773
1363,ak4_jet3_bscore,bjets_mbb,0.038696548921286926,0.019815007842082424,0.018881541079204502
662,ak4_jet2_pt,ak4_jet0_bscore,0.025695858943527133,0.006820467573049396,0.018875391370477737
2128,bb_lnu_dPhi,bjets_mbb,0.021921850584133935,0.0030468702850158166,0.01887498029911812
646,bjet_bijet_dPhi,met_pt,0.02573509158815088,0.006913500964799098,0.018821590623351783
1475,blnu_bl_mInv,bb_lnu_dR,0.04315389625098919,0.0243588188838303,0.01879507736715889
878,min_b_l_dR,jj_l_dR,0.05631919739845869,0.03752689405054051,0.018792303347918184
1572,nAK4_nonbtag,bjets_dPhi,0.02097880770612088,0.0022040947517684845,0.018774712954352395
440,ak4_jet1_pt,ak4_jet0_bscore,0.025373342657713436,0.006601723293846281,0.018771619363867155
907,min_b_l_dR,blnu_mT,0.04012148273827354,0.021367554338721003,0.018753928399552536
1683,ak4_jet0_eta,ak4_jet2_eta,0.05551022792259715,0.03676539087429195,0.018744837048305193
1068,trijet_bijet_dR,jj_l_dR,0.04088226021163104,0.022171897710159223,0.01871036250147182
1415,WW_mT,ak4_jet2_eta,0.02487599607779084,0.006169327191194743,0.018706668886596098
121,ak4_jet0_pt,jj_lnu_dPhi,0.026398309998648763,0.007735371218703633,0.01866293877994513
902,min_b_l_dR,bb_lnu_dEta,0.0261860771521615,0.007741746208530978,0.018444330943630523
566,WW_pt,WW_mT,0.10101292540054055,0.08256966146384007,0.018443263936700482
496,min_b_lnu_dPhi,trijet_pt_rat,0.04055391881817004,0.022144205038648467,0.018409713779521573
918,min_b_l_dR,bjets_mbb,0.0577200046567253,0.03934969017097426,0.018370314485751035
2096,bjets_dR,bb_lnu_dR,0.03634392560026353,0.017975417438487143,0.01836850816177639
1811,ak4_jet2_eta,trijet_bijet_dEta,0.032660297098365224,0.014303351723822914,0.01835694537454231
812,trijet_pt_rat,bb_lnu_dPhi,0.029318495983536655,0.010994891537632452,0.018323604445904203
117,ak4_jet0_pt,bjets_dPhi,0.02526170631581743,0.00702213646897586,0.01823956984684157
1507,trijet_mInv,jj_lnu_dPhi,0.02011505248495049,0.0018834711837822996,0.01823158130116819
2034,all_jets_HT,bjets_dEta,0.01866533611484538,0.0004607011039260145,0.018204635010919366
2014,WW_mInv,bjets_dR,0.019223443210263126,0.0010295307752724338,0.018193912434990692
1151,blnu_lnu_mT,bb_lnu_dR,0.021287223471478413,0.0031312938825621417,0.01815592958891627
1483,trijet_mInv,bjet1_pt,0.044300250237796206,0.026163115041724742,0.018137135196071463
1957,trijet_bijet_dPhi,WW_mInv,0.050141950556481844,0.06826695823285694,0.0181250076763751
1707,ak4_jet0_eta,bjets_pt_bb,0.018164859989251745,5.084316861886373e-05,0.01811401682063288
503,min_b_lnu_dPhi,blnu_lnu_mT,0.020443644520478917,0.0023835384717345413,0.018060106048744376
2086,bjets_dPhi,bb_lnu_dR,0.03542257789511989,0.017393518991640843,0.01802905890347905
877,min_b_l_dR,trijet_pt,0.03800837988064257,0.05598331752727131,0.01797493764662874
1892,ak4_jet1_phi,ak4_jet2_phi,0.02465923469381865,0.0067102408868043376,0.017948993807014313
201,ak4_jet2_bscore,trijet_pt_rat,0.01992280043094958,0.001985398764176343,0.017937401666773236
540,min_b_lnu_dPhi,trijet_bijet_dEta,0.024050423882082398,0.006116105466931771,0.017934318415150627
1354,ak4_jet3_bscore,bjets_dR,0.02045962438124796,0.0025418975582626735,0.017917726822985286
431,lep0_pt,bjets_pt_bb,0.02480121721902106,0.006908130445303331,0.017893086773717728
803,trijet_pt_rat,all_jets_HT,0.014548236717400093,0.03243134136011845,0.017883104642718358
1390,jj_l_dEta,met_pt,0.01817059014698129,0.000299499720801729,0.01787109042617956
422,lep0_pt,bjets_dPhi,0.018089065568925766,0.0002637189777877913,0.017825346591137974
615,bjet_bijet_dPhi,jj_lnu_dEta,0.0187705708916855,0.0010019185580188925,0.017768652333666608
1750,ak4_jet1_eta,WW_mInv,0.026093738447502814,0.008333135396688836,0.017760603050813978
819,ak4_jet0_bscore,min_b_l_dR,0.018242077569791196,0.0005149403875935356,0.01772713718219766
1991,mjj,blnu_pt,0.04058714780833352,0.022889185681123178,0.017697962127210344
922,ak4_jet3_pt,trijet_bijet_dR,0.03719968630345863,0.01951122165890445,0.01768846464455418
1404,WW_mT,blnu_bl_mInv,0.03633158376415735,0.018650747070034758,0.01768083669412259
974,all_pt,trijet_pt,0.020337598703166683,0.002662638769367273,0.01767495993379941
659,bjet_bijet_dPhi,blnu_pt,0.05688426331845828,0.03921691139415277,0.017667351924305505
2,bjet0_pt,ak4_jet2_bscore,0.041531662607791564,0.0238702670746452,0.017661395533146364
1106,trijet_bijet_dR,bb_lnu_dR,0.08922651009733151,0.07157054634330551,0.017655963754026005
2103,all_sT,bjets_dEta,0.017977667646245966,0.00032870185815471464,0.01764896578809125
807,trijet_pt_rat,bjets_dPhi,0.09505537311587281,0.07740678229959952,0.01764859081627329
1506,trijet_mInv,trijet_bijet_dEta,0.054398286410031804,0.03686447845619623,0.01753380795383557
2114,trijet_bijet_dEta,bjets_pt_bb,0.01881970309734163,0.0012890073867217154,0.017530695710619916
728,all_mT,WW_mT,0.5495061778265108,0.567030077481421,0.01752389965491019
1673,bjet1_pt,bb_lnu_dPhi,0.01985375695029473,0.0023374879508184267,0.017516268999476302
928,ak4_jet3_pt,ak4_jet3_bscore,0.045902140966802604,0.028386128706970545,0.01751601225983206
719,all_mT,jj_l_dPhi,0.02754760808674461,0.010058479724296694,0.017489128362447915
1968,trijet_bijet_dPhi,bjets_dEta,0.017987867964579275,0.0005170056725183753,0.0174708622920609
708,ak4_jet2_pt,bjets_dEta,0.01780960142445428,0.0003873884794186322,0.017422212945035646
1270,trijet_pt,met_pt,0.0985918142790852,0.08123159367646546,0.01736022060261974
343,min_b_l_dPhi,bjet1_pt,0.023481900395880728,0.006141623989099898,0.01734027640678083
376,lep0_pt,min_b_lnu_dPhi,0.01965976478829693,0.002359646671655946,0.017300118116640985
1058,jj_l_dPhi,bjets_dEta,0.017323525353575956,4.78938888846675e-05,0.01727563146469129
1706,ak4_jet0_eta,bb_lnu_dR,0.02548076271509604,0.008217682392632788,0.01726308032246325
123,ak4_jet0_pt,bjets_dEta,0.017747801442775865,0.0005167749187169821,0.017231026524058883
801,trijet_pt_rat,bb_lnu_dEta,0.01986121731239935,0.0026308805101419343,0.017230336802257416
1826,ak4_jet3_eta,mjj,0.021942442289512535,0.004800472984041536,0.017141969305471
216,ak4_jet2_bscore,blnu_bl_mInv,0.018409142849355523,0.0012975052871671347,0.01711163756218839
1647,bjet_bijet_dEta,bjets_mbb,0.019419555994509795,0.002342661594132992,0.017076894400376803
1027,jj_l_dPhi,trijet_mInv,0.01847802280466633,0.0014098179578507335,0.017068204846815597
641,bjet_bijet_dPhi,mjj,0.019758365758989642,0.0027367919589690766,0.017021573800020565
1115,blnu_lnu_mT,jj_l_dEta,0.01740088493010604,0.0003857978916337809,0.01701508703847226
67,ak4_jet0_pt,ak4_jet1_bscore,0.02072645137375459,0.0037517676314756596,0.01697468374227893
436,ak4_jet1_pt,bjet_bijet_dPhi,0.019367147179120515,0.0024014176806983374,0.016965729498422177
377,lep0_pt,WW_pt,0.025094767420658547,0.008184494000111203,0.016910273420547343
474,ak4_jet1_pt,bb_lnu_dEta,0.017752052953747335,0.0008675271591710026,0.016884525794576333
1137,blnu_lnu_mT,bb_lnu_dEta,0.018091445254464857,0.001302322768275764,0.016789122486189093
144,all_mInv,jj_l_dPhi,0.026947432576090388,0.01027484876508995,0.016672583811000438
486,ak4_jet1_pt,bjets_dEta,0.017233653032440045,0.0005716904023367678,0.016661962630103277
26,bjet0_pt,WW_mT,0.03044377172395051,0.013793949287724297,0.01664982243622621
2013,WW_mInv,bjets_dPhi,0.01757910974465803,0.0009300771142639608,0.016649032630394068
2021,WW_mInv,bb_lnu_dR,0.04038700183344227,0.02375050864233219,0.01663649319111008
832,ak4_jet0_bscore,blnu_bl_mInv,0.01917671825628921,0.002559151217166645,0.016617567039122566
195,ak4_jet2_bscore,ak4_jet1_pt,0.025372620490185065,0.008779402794878047,0.016593217695307017
2033,all_jets_HT,bb_lnu_dPhi,0.02085273808635706,0.037424039487088126,0.016571301400731066
614,bjet_bijet_dPhi,blnu_lnu_mT,0.031216817753124262,0.014669673535799066,0.016547144217325196
277,ak4_jet1_bscore,blnu_bl_mInv,0.018283501076406725,0.001785757529241816,0.01649774354716491
104,ak4_jet0_pt,nAK4,0.006634530788587445,0.02311618993161219,0.016481659143024744
1181,jj_lnu_dEta,bb_lnu_dEta,0.04901849764965084,0.06549123794721637,0.016472740297565527
611,bjet_bijet_dPhi,all_pt,0.016660952961295383,0.00021859543854240576,0.016442357522752978
1215,jj_lnu_dR,ak4_jet2_eta,0.01954112286806611,0.003107348770371325,0.016433774097694785
153,all_mInv,WW_mT,0.5472047941544658,0.5636322914531875,0.016427497298721727
787,trijet_pt_rat,bjet1_pt,0.02339011573132663,0.006997846103698774,0.016392269627627857
1568,nAK4_nonbtag,all_jets_HT,0.06566841999920164,0.08204900106118149,0.016380581061979843
61,bjet0_pt,bb_lnu_dR,0.02328435570144817,0.006912703673096449,0.01637165202835172
309,ak4_jet1_bscore,bjets_dEta,0.016693342748845534,0.00032544613804086006,0.016367896610804674
885,min_b_l_dR,nAK4_nonbtag,0.018909911132610098,0.0025433784594247697,0.01636653267318533
1063,jj_l_dPhi,blnu_pt,0.10359709983073082,0.08723425645660207,0.016362843374128744
2055,met_pt,bjets_dPhi,0.016650786379153376,0.0002928518328769933,0.016357934546276383
249,ak4_jet2_bscore,bjet_bijet_dR,0.017035010984969443,0.0007161628250269836,0.01631884815994246
2018,WW_mInv,bb_lnu_dPhi,0.04136777134576045,0.02504999960895326,0.016317771736807193
605,bjet_bijet_dPhi,ak4_jet2_pt,0.017834650756805858,0.0015172336781435064,0.01631741707866235
1684,ak4_jet0_eta,ak4_jet3_eta,0.0455445039089835,0.02929932028129046,0.01624518362769304
1117,blnu_lnu_mT,blnu_bl_mInv,0.03507784861890609,0.018847481470592793,0.016230367148313295
572,WW_pt,bjet_bijet_dEta,0.017372127965428336,0.0011429666498059196,0.016229161315622416
767,trijet_pt_rat,ak4_jet0_bscore,0.016918129384284733,0.0007302786910005701,0.016187850693284163
1482,trijet_mInv,bjet_bijet_dEta,0.0964704082594887,0.11260161748578998,0.016131209226301277
124,ak4_jet0_pt,bjet_bijet_dR,0.026538984418137557,0.010415482289972949,0.01612350212816461
1,bjet0_pt,all_mInv,0.08821439665946318,0.07211584831025666,0.016098548349206515
2081,bjets_dPhi,trijet_bijet_dEta,0.017350723750627583,0.0013229847042402522,0.01602773904638733
1623,bjet_bijet_dEta,ak4_jet3_eta,0.024867405592651798,0.008846059652748837,0.01602134593990296
1641,bjet_bijet_dEta,jj_lnu_dPhi,0.018076746183455235,0.002072290954974774,0.01600445522848046
165,all_mInv,ak4_jet2_eta,0.024346987574661836,0.00843609170424493,0.015910895870416907
329,min_b_l_dPhi,blnu_lnu_mT,0.0185130693568621,0.002608851713773206,0.015904217643088893
1646,bjet_bijet_dEta,bjets_pt_bb,0.01746190064281962,0.0015923817007965427,0.015869518942023077
911,min_b_l_dR,trijet_bijet_dEta,0.023508527533085136,0.0076423881416792724,0.015866139391405864
1651,bjet1_pt,ak4_jet1_eta,0.016041372055254403,0.00020688067665971047,0.015834491378594693
1062,jj_l_dPhi,bjets_mbb,0.017270937922461836,0.0014405455914104116,0.015830392331051425
1282,trijet_pt,bjets_mbb,0.06958312415716739,0.08541304861641069,0.015829924459243305
203,ak4_jet2_bscore,min_b_l_dR,0.017228176386384318,0.0013999690150165688,0.01582820737136775
2042,bjets_mean_pt,bjets_dPhi,0.04739528351693449,0.03160518396452948,0.015790099552405013
1704,ak4_jet0_eta,bjets_dEta,0.023543563556696314,0.0077715605281726205,0.015772003028523694
1373,jj_l_dEta,ak4_jet0_eta,0.036298159620103514,0.05205096319640124,0.015752803576297728
1349,ak4_jet3_bscore,all_jets_HT,0.02685320674229431,0.011104304838586756,0.015748901903707556
60,bjet0_pt,bjet_bijet_dR,0.02009110369580509,0.004342578742053606,0.015748524953751484
1436,WW_mT,bjets_dEta,0.01649384146134324,0.0007497994357884494,0.01574404202555479
173,all_mInv,mjj,0.16117487657930887,0.14543722849670065,0.01573764808260822
204,ak4_jet2_bscore,ak4_jet3_pt,0.0243068447838338,0.008572112636387609,0.015734732147446192
2099,bjets_dR,blnu_pt,0.03278973609557294,0.017060534206593685,0.015729201888979253
1309,jj_l_dR,all_jets_HT,0.019799486212567725,0.004114782438447831,0.015684703774119894
507,min_b_lnu_dPhi,jj_l_dR,0.023555699588588275,0.007925949360769461,0.015629750227818814
711,ak4_jet2_pt,bjets_pt_bb,0.07481367531098689,0.05920538080465879,0.015608294506328092
2082,bjets_dPhi,jj_lnu_dPhi,0.04333338414419534,0.027760387733714764,0.015572996410480575
949,ak4_jet3_pt,trijet_bijet_dPhi,0.032058909263784116,0.0164873014113314,0.015571607852452717
312,ak4_jet1_bscore,bjets_pt_bb,0.017383163743958242,0.0018436288952037964,0.015539534848754446
1801,ak4_jet2_eta,mjj,0.020098467284237493,0.004613454780757503,0.01548501250347999
740,all_mT,ak4_jet2_eta,0.023902086661748628,0.008460098207717877,0.01544198845403075
781,trijet_pt_rat,blnu_bl_mInv,0.016107778138285022,0.0006995617030208616,0.01540821643526416
770,trijet_pt_rat,all_pt,0.015850471048512307,0.00048570822926907037,0.015364762819243236
1321,jj_l_dR,bb_lnu_dR,0.02552396146981982,0.010178907477362602,0.015345053992457218
1172,jj_lnu_dEta,ak4_jet2_eta,0.06155786549360909,0.04622375383310137,0.015334111660507715
931,ak4_jet3_pt,blnu_bl_mInv,0.021558176583683312,0.00623425482632272,0.015323921757360592
1988,mjj,bb_lnu_dR,0.024240333690694907,0.00903651065711631,0.015203823033578596
2065,met_pt,bjets_mbb,0.01681483529369981,0.001638711130374091,0.01517612416332572
1441,WW_mT,blnu_pt,0.20239171362970404,0.21756564419900776,0.015173930569303717
852,ak4_jet0_bscore,bb_lnu_dEta,0.01587416584509784,0.0007071792684455701,0.015166986576652271
1637,bjet_bijet_dEta,bjets_dPhi,0.015634463478990043,0.000473098056900996,0.015161365422089047
1184,jj_lnu_dEta,bjets_mean_pt,0.015334294985405242,0.00022373021085089415,0.015110564774554348
11,bjet0_pt,all_mT,0.08765880284404101,0.07256596654852564,0.015092836295515374
1748,ak4_jet1_eta,mjj,0.020087269934143698,0.005025557859411837,0.015061712074731861
1413,WW_mT,ak4_jet1_eta,0.022564513484058468,0.007505308266827233,0.015059205217231236
830,ak4_jet0_bscore,jj_l_dEta,0.01580523763836624,0.0007471238767031395,0.015058113761663102
269,ak4_jet1_bscore,blnu_lnu_mT,0.01596897162742346,0.000923905243801721,0.015045066383621738
515,min_b_lnu_dPhi,nAK4_btag,0.016006807449115174,0.0009628136235877716,0.015043993825527402
815,trijet_pt_rat,bb_lnu_dR,0.022939848180853598,0.007942547955220168,0.01499730022563343
360,min_b_l_dPhi,bjets_mean_pt,0.02666510089730564,0.011679308472059712,0.014985792425245928
1808,ak4_jet2_eta,bjets_dPhi,0.01496257209330911,2.292518873166227e-05,0.014939646904577449
227,ak4_jet2_bscore,ak4_jet2_eta,0.0288176646554525,0.013893333615484244,0.014924331039968257
323,min_b_l_dPhi,ak4_jet0_bscore,0.01813766320861761,0.0032589584819339885,0.014878704726683623
213,ak4_jet2_bscore,ak4_jet3_bscore,0.028939002727467744,0.014067845906987862,0.014871156820479882
874,min_b_l_dR,blnu_lnu_mT,0.021177390755963154,0.006312674817623685,0.01486471593833947
1974,mjj,bb_lnu_dEta,0.014982918880594824,0.00013265353924963447,0.01485026534134519
1401,jj_l_dEta,bjets_pt_bb,0.015017451416713703,0.00018632674472335992,0.014831124671990343
299,ak4_jet1_bscore,all_jets_HT,0.020725478780033425,0.0059037929404418404,0.014821685839591585
310,ak4_jet1_bscore,bjet_bijet_dR,0.015233598088646012,0.00045060580673653844,0.014782992281909473
1201,jj_lnu_dR,ak4_jet3_bscore,0.017223242497443586,0.002483124413454274,0.014740118083989312
2060,met_pt,bb_lnu_dPhi,0.01728399884044312,0.0025452725356146164,0.014738726304828503
794,trijet_pt_rat,nAK4,0.026174039013060584,0.04090327682398848,0.014729237810927893
1788,lep0_phi,bjets_dEta,0.014719850269879431,5.023827339169229e-06,0.014714826442540262
295,ak4_jet1_bscore,trijet_bijet_dPhi,0.018461929017196992,0.003755705615444669,0.014706223401752323
450,ak4_jet1_pt,jj_l_dR,0.017801859128464326,0.003100814253753026,0.0147010448747113
1256,trijet_pt,lep0_phi,0.014685671511979442,6.929422842021082e-06,0.014678742089137421
673,ak4_jet2_pt,ak4_jet3_bscore,0.027435475185451415,0.012767391822643841,0.014668083362807574
535,min_b_lnu_dPhi,met_pt,0.016114404764360872,0.001448416823046781,0.014665987941314091
748,all_mT,mjj,0.16008943997660727,0.1454276070048595,0.014661832971747779
1636,bjet_bijet_dEta,blnu_mT,0.015604264469303193,0.0009764251826245504,0.014627839286678643
1241,jj_lnu_dR,blnu_pt,0.10374976914871664,0.08912938940502307,0.014620379743693568
1000,all_pt,WW_mInv,0.018129190004230775,0.003546485259113989,0.014582704745116786
1690,ak4_jet0_eta,trijet_bijet_dPhi,0.014779459292849496,0.00020400828858899156,0.014575451004260505
1764,ak4_jet1_eta,bjets_pt_bb,0.014576565244481778,2.7665448309892315e-05,0.014548899796171886
1136,blnu_lnu_mT,mjj,0.024617840144194113,0.010104382187048556,0.014513457957145558
289,ak4_jet1_bscore,ak4_jet3_eta,0.014695784689038073,0.00018383832787112475,0.014511946361166948
1392,jj_l_dEta,bjets_dPhi,0.014512360432758942,2.934887461748109e-05,0.01448301155814146
639,bjet_bijet_dPhi,lep0_eta,0.0145322991993268,5.9948092397364705e-05,0.014472351106929435
2125,bb_lnu_dPhi,bjet_bijet_dR,0.022853206685563985,0.008471817788551758,0.014381388897012227
610,bjet_bijet_dPhi,ak4_jet3_pt,0.014958997713626729,0.000595224681856861,0.014363773031769868
358,min_b_l_dPhi,WW_mInv,0.0192819810534942,0.0049187015119488975,0.014363279541545301
1836,ak4_jet3_eta,trijet_bijet_dEta,0.029876996727176874,0.01551667103699246,0.014360325690184413
366,min_b_l_dPhi,trijet_bijet_dEta,0.01720283188583773,0.0028450953419801132,0.014357736543857618
1913,ak4_jet1_phi,blnu_pt,0.014332601057771704,5.5143165021281915e-06,0.014327086741269576
2063,met_pt,bb_lnu_dR,0.016317620503455615,0.0020275528611327157,0.0142900676423229
1952,lep0_eta,bjets_pt_bb,0.01433579538758277,4.615246400865164e-05,0.014289642923574118
271,ak4_jet1_bscore,jj_lnu_dR,0.015265350134339824,0.0009814971759535933,0.014283852958386231
2140,bb_lnu_dR,bjets_mbb,0.02218950362912993,0.007919931031010689,0.014269572598119243
208,ak4_jet2_bscore,blnu_lnu_mT,0.014808486596433919,0.0005477532700968041,0.014260733326337115
356,min_b_l_dPhi,mjj,0.01605789998488937,0.0018019581710612895,0.014255941813828079
2112,trijet_bijet_dEta,bjet_bijet_dR,0.14412031706970746,0.12986969284250924,0.014250624227198222
448,ak4_jet1_pt,jj_lnu_dR,0.01672973933185619,0.002489327387260945,0.014240411944595244
1416,WW_mT,ak4_jet3_eta,0.019752507276937416,0.005531148995682345,0.014221358281255071
883,min_b_l_dR,trijet_mInv,0.020303046907227007,0.006090324264957224,0.014212722642269783
2118,jj_lnu_dPhi,bjets_dEta,0.01427472032243236,7.301431405073999e-05,0.01420170600838162
1129,blnu_lnu_mT,ak4_jet3_eta,0.01424468197475897,4.8507608113118605e-05,0.014196174366645851
1079,trijet_bijet_dR,ak4_jet0_eta,0.017869114639453457,0.0036753491118424325,0.014193765527611025
87,ak4_jet0_pt,jj_l_dR,0.019382006116364116,0.0051941032609096605,0.014187902855454456
1346,ak4_jet3_bscore,mjj,0.022772972929696936,0.00859306198853579,0.014179910941161146
1983,mjj,trijet_bijet_dEta,0.01880274300974138,0.004652651772145185,0.014150091237596196
838,ak4_jet0_bscore,bjet1_pt,0.05135081259618132,0.03720214178119828,0.014148670814983041
1955,trijet_bijet_dPhi,mjj,0.027284707622992843,0.01314167301816608,0.014143034604826764
544,min_b_lnu_dPhi,bjet_bijet_dR,0.027531806222822496,0.013420142641843782,0.014111663580978713
1236,jj_lnu_dR,bjets_dEta,0.016411456863830148,0.0023505537695847276,0.01406090309424542
964,ak4_jet3_pt,bjet_bijet_dR,0.016002876959958945,0.0019483917606405686,0.014054485199318376
1183,jj_lnu_dEta,all_jets_HT,0.016787633864336193,0.0027340208492991624,0.01405361301503703
1985,mjj,bb_lnu_dPhi,0.023275723536749473,0.009223681242906151,0.014052042293843322
2113,trijet_bijet_dEta,bb_lnu_dR,0.056040008310210124,0.041989978546456114,0.01405002976375401
2124,bb_lnu_dPhi,bjets_dEta,0.014140213507213582,0.00017566912016864916,0.013964544387044933
254,ak4_jet1_bscore,min_b_l_dPhi,0.015013753967098805,0.0010523335563946308,0.013961420410704174
109,ak4_jet0_pt,trijet_bijet_dPhi,0.05437887986182631,0.04044226237694942,0.013936617484876887
823,ak4_jet0_bscore,trijet_bijet_dR,0.08776933033693496,0.07383752018417714,0.013931810152757823
1031,jj_l_dPhi,bjet_bijet_dEta,0.016033020869072153,0.0021100328116479966,0.013922988057424156
485,ak4_jet1_pt,bb_lnu_dPhi,0.0183167427136593,0.032223143450656286,0.013906400736996987
256,ak4_jet1_bscore,ak4_jet1_pt,0.023982807862129567,0.010084336516174037,0.01389847134595553
1945,lep0_eta,all_sT,0.014516474137707413,0.0006321231320903994,0.013884351005617013
996,all_pt,lep0_eta,0.01418120197905931,0.0003019109359109276,0.013879291043148383
1128,blnu_lnu_mT,ak4_jet2_eta,0.01402315668909574,0.00014704560932579658,0.013876111079769944
1876,met_phi,all_jets_HT,0.01387861187673185,5.024695101336907e-06,0.013873587181630512
