,i,j,MI_S,MI_B,delta
1504,trijet_mInv,bjets_dR,0.047380369626587496,0.004292898475963015,0.04308747115062448
511,min_b_lnu_dPhi,blnu_bl_mInv,0.050655070275744604,0.007711103490512041,0.04294396678523256
561,WW_pt,jj_lnu_dR,0.17045731849197474,0.12798341177923248,0.04247390671274226
765,all_mT,bjets_mbb,0.07561049218889507,0.11777952449919127,0.0421690323102962
45,bjet0_pt,trijet_bijet_dPhi,0.06248485488696594,0.020371616294536096,0.04211323859242984
1073,trijet_bijet_dR,trijet_mInv,0.08809803416792267,0.04614193325927658,0.041956100908646085
697,ak4_jet2_pt,WW_mInv,0.06300393774685747,0.10489041570744595,0.041886477960588475
554,WW_pt,min_b_l_dR,0.05415414970220578,0.012411106499351204,0.041743043202854574
609,bjet_bijet_dPhi,min_b_l_dR,0.049455963556814725,0.007745660032117234,0.04171030352469749
318,min_b_l_dPhi,WW_pt,0.06081731727736521,0.019178276387685857,0.04163904088967935
1102,trijet_bijet_dR,jj_lnu_dPhi,0.12394318043006278,0.08265495405151976,0.041288226378543014
1679,bjet1_pt,blnu_pt,0.022127084694254576,0.06323162764949514,0.04110454295524056
863,ak4_jet0_bscore,bb_lnu_dPhi,0.06516822612067874,0.024311826317285973,0.04085639980339277
1310,jj_l_dR,bjets_mean_pt,0.04198044778582439,0.0012626956255885578,0.040717752160235834
1071,trijet_bijet_dR,WW_mT,0.04149376531047934,0.08217431569287482,0.040680550382395486
1463,blnu_bl_mInv,all_jets_HT,0.055004455158442656,0.014408789423998817,0.04059566573444384
756,all_mT,bjets_dR,0.05724606252538534,0.016714614914087336,0.040531447611298003
372,min_b_l_dPhi,bjets_pt_bb,0.09141297932964328,0.05088899332149016,0.040523986008153115
1204,jj_lnu_dR,blnu_bl_mInv,0.04853481289211681,0.008033528571188896,0.04050128432092791
1025,jj_l_dPhi,WW_mT,0.06383389041540104,0.02366077756464291,0.04017311285075813
1100,trijet_bijet_dR,all_sT,0.02612746423308345,0.06626329967240735,0.0401358354393239
396,lep0_pt,blnu_bl_mInv,0.10121785078875163,0.0611492861033115,0.04006856468544013
603,WW_pt,bjets_mbb,0.051247469423087375,0.011269972329698473,0.0399774970933889
501,min_b_lnu_dPhi,jj_l_dPhi,0.10077649642371106,0.061029961009057734,0.039746535414653325
181,all_mInv,bjets_dR,0.056500582441528224,0.016895506103798023,0.0396050763377302
492,min_b_lnu_dPhi,WW_pt,0.06306690131108311,0.023478803646693146,0.03958809766438996
601,WW_pt,bb_lnu_dR,0.04919544422905271,0.009940107774273298,0.03925533645477941
1471,blnu_bl_mInv,jj_lnu_dPhi,0.050224062532657994,0.010991539397193207,0.039232523135464784
179,all_mInv,blnu_mT,0.2925828689147851,0.33148755194787016,0.038904683033085086
904,min_b_l_dR,all_jets_HT,0.012883918287199748,0.051386656604058514,0.03850273831685877
441,ak4_jet1_pt,min_b_l_dR,0.011533348071493664,0.04997609201472479,0.03844274394323113
479,ak4_jet1_pt,blnu_mT,0.1134337786963137,0.15185500549781464,0.03842122680150094
822,ak4_jet0_bscore,jj_l_dPhi,0.04820962841318237,0.00982023709299246,0.03838939132018991
