var1,var2,var3,score,d12,d13,d23
bjets_pt_bb,bjets_dR,bjets_mean_pt,0.2921283383566076,0.12258617926090642,0.30725911766105574,0.44653971814786064
bjets_dR,bjets_mean_pt,all_sT,0.2807087535611325,0.44653971814786064,0.29468855529928034,0.10089798723625665
bjets_dR,bjets_mbb,bjets_mean_pt,0.27337806755034905,0.1936223812733563,0.44653971814786064,0.17997210322983015
bjets_dR,bjets_mean_pt,all_jets_HT,0.26433369209018553,0.44653971814786064,0.29301274306369696,0.053448615058999005
bjets_dR,bjets_mean_pt,blnu_mT,0.2542750644394791,0.44653971814786064,0.2973401098403525,0.01894536533022434
bjets_dR,bjet_bijet_dR,bjets_mean_pt,0.24839309635003,0.03297559541731526,0.44653971814786064,0.2656639754849141
bjets_pt_bb,bjet_bijet_dR,bjets_mean_pt,0.22380173577700338,0.09848211418504033,0.30725911766105574,0.2656639754849141
bjets_dR,blnu_mT,all_jets_HT,0.2215075256949893,0.2973401098403525,0.29301274306369696,0.0741697241809185
bjets_dR,bb_lnu_dR,bjets_mean_pt,0.21464234451005973,0.08824671495125401,0.44653971814786064,0.10914060043106451
bjets_dR,blnu_mT,all_sT,0.21207685213215136,0.2973401098403525,0.29468855529928034,0.04420189125682128
bjets_dR,bjets_mean_pt,met_pt,0.2105891233861313,0.44653971814786064,0.07980620253622672,0.10542144947430657
bjets_pt_bb,bjets_dR,all_sT,0.20807897695039682,0.12258617926090642,0.2069621962910037,0.29468855529928034
bjets_pt_bb,bjets_mean_pt,all_sT,0.20503976706277205,0.30725911766105574,0.2069621962910037,0.10089798723625665
bjets_dR,all_sT,all_jets_HT,0.20320371286130381,0.29468855529928034,0.29301274306369696,0.02190984022093423
bjets_dR,bjets_mbb,blnu_mT,0.20183150337466657,0.1936223812733563,0.2973401098403525,0.11453201901029098
bjets_pt_bb,bb_lnu_dR,bjets_mean_pt,0.20130163100605644,0.18750517492604907,0.30725911766105574,0.10914060043106451
bjets_pt_bb,bjets_dR,all_jets_HT,0.20112783807978415,0.12258617926090642,0.187784591914749,0.29301274306369696
bjets_dR,blnu_pt,bjets_mean_pt,0.1991715641037122,0.0529308997769463,0.44653971814786064,0.09804407438632967
bjets_dR,bjets_mbb,all_jets_HT,0.19378980885566058,0.1936223812733563,0.29301274306369696,0.09473430222992857
bjets_pt_bb,bjets_mbb,bjets_mean_pt,0.19308307746844008,0.09201801151443437,0.30725911766105574,0.17997210322983015
