,obs_name,mu,sigma1_min,sigma1_max,sigma2_min,sigma2_max,obs_type,n_variables
0,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,110.9,75.77,163.5,54.35,229.3,llr_factorized,8
1,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,111.2,75.22,164.0,53.23,231.4,llr_factorized,9
2,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,112.6,78.47,163.4,57.63,225.6,llr_factorized,7
3,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_blnu_bl_mInv_x_bjets_mbb_llr,112.9,77.73,165.2,56.25,231.3,llr_factorized,6
4,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,112.9,76.32,167.3,54.01,236.7,llr_factorized,10
5,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_trijet_pt_rat_x_WW_pt_x_bjets_mbb_llr,113.9,78.65,166.1,57.16,231.5,llr_factorized,8
6,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,114.2,79.74,164.8,58.69,228.3,llr_factorized,8
7,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,114.5,79.64,166.1,58.37,230.8,llr_factorized,9
8,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,114.6,80.0,165.8,58.88,229.3,llr_factorized,8
9,jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,114.6,78.33,169.0,56.19,237.7,llr_factorized,8
10,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,114.8,79.85,166.5,58.53,232.9,llr_factorized,7
11,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,115.2,79.6,168.1,57.85,234.3,llr_factorized,9
12,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,115.2,79.6,169.0,57.85,236.3,llr_factorized,11
13,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,115.2,79.6,169.0,57.85,236.3,llr_factorized,9
14,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,115.2,79.74,168.1,58.08,234.3,llr_factorized,9
15,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,115.2,80.16,167.2,58.75,233.7,llr_factorized,8
16,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,115.6,80.14,167.7,58.49,233.1,llr_factorized,9
17,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,115.6,80.98,166.8,59.84,231.0,llr_factorized,9
18,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,115.6,80.14,168.6,58.49,236.5,llr_factorized,12
19,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_trijet_pt_rat_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,115.8,79.1,170.7,56.74,239.4,llr_factorized,10
20,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,115.8,79.71,169.8,57.68,237.5,llr_factorized,8
21,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,115.9,79.77,169.0,57.73,235.7,llr_factorized,10
22,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,116.0,80.66,168.2,59.12,233.8,llr_factorized,8
23,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,116.2,80.57,168.6,58.81,235.8,llr_factorized,9
24,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,116.2,81.14,167.7,59.71,232.3,llr_factorized,8
25,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,116.2,80.57,169.5,58.81,234.9,llr_factorized,9
26,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,116.5,80.75,169.9,58.93,236.9,llr_factorized,10
27,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,116.5,81.53,168.0,59.84,232.8,llr_factorized,6
28,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,116.6,80.83,170.1,59.0,237.1,llr_factorized,11
29,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,116.6,81.11,169.2,59.45,235.1,llr_factorized,8
30,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,116.6,81.06,169.2,59.0,235.1,llr_factorized,9
31,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,116.6,80.83,170.1,59.0,235.7,llr_factorized,9
32,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,116.6,80.97,169.6,59.22,235.4,llr_factorized,7
33,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,116.6,80.83,170.1,59.0,237.1,llr_factorized,9
34,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,116.6,80.27,171.0,58.08,239.2,llr_factorized,9
35,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,116.8,81.19,169.4,59.09,235.5,llr_factorized,8
36,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,116.8,81.53,168.5,60.0,234.9,llr_factorized,7
37,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,116.8,80.96,169.4,59.09,235.5,llr_factorized,10
38,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,116.8,80.68,171.3,58.63,239.5,llr_factorized,8
39,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,116.8,80.68,170.4,58.63,237.5,llr_factorized,8
40,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,116.8,80.96,169.4,59.09,236.9,llr_factorized,10
41,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_llr,116.9,80.89,169.6,58.91,235.7,llr_factorized,8
42,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,116.9,80.32,171.4,58.0,241.2,llr_factorized,8
43,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,116.9,81.05,170.5,59.15,239.2,llr_factorized,9
44,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.0,81.64,168.7,60.08,233.7,llr_factorized,7
45,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.0,81.65,169.7,60.09,234.4,llr_factorized,8
46,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,117.2,81.98,169.1,60.46,234.3,llr_factorized,10
47,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_llr,117.2,80.98,170.1,58.85,236.3,llr_factorized,7
48,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.2,81.55,170.1,59.77,236.3,llr_factorized,10
49,jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,117.2,81.55,171.0,59.77,238.4,llr_factorized,6
50,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,117.2,81.55,170.1,59.77,236.3,llr_factorized,10
51,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_WW_pt_x_bjets_mbb_llr,117.2,81.83,170.1,60.23,234.9,llr_factorized,7
52,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_min_b_l_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.2,79.42,172.9,56.34,242.5,llr_factorized,8
53,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.2,81.27,171.0,59.31,237.0,llr_factorized,8
54,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,117.2,80.98,171.9,58.85,240.4,llr_factorized,10
55,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,117.2,81.41,170.1,59.54,236.3,llr_factorized,9
56,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,117.2,81.72,170.1,59.31,236.3,llr_factorized,10
57,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,117.2,81.69,170.1,60.0,236.3,llr_factorized,8
58,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_trijet_pt_rat_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,117.2,81.12,170.1,59.08,237.8,llr_factorized,8
59,jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,117.2,81.55,170.1,59.77,236.3,llr_factorized,7
60,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.2,81.41,171.0,59.54,238.4,llr_factorized,7
61,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_trijet_pt_rat_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,117.5,81.44,171.4,59.44,238.9,llr_factorized,10
62,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_trijet_pt_rat_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,117.6,82.26,170.6,59.96,237.1,llr_factorized,8
63,jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.6,81.53,171.5,59.5,239.2,llr_factorized,9
64,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.6,80.95,171.5,58.58,239.2,llr_factorized,8
65,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.6,81.81,170.6,59.96,237.1,llr_factorized,10
66,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,117.6,82.26,169.7,59.96,235.0,llr_factorized,8
67,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.6,80.95,172.5,58.58,241.2,llr_factorized,9
68,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.6,81.38,171.5,59.27,237.7,llr_factorized,9
69,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,117.8,82.04,170.8,60.25,237.4,llr_factorized,10
70,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,117.8,81.65,171.8,59.6,239.5,llr_factorized,10
71,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_trijet_pt_rat_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,117.8,81.65,170.9,59.6,237.5,llr_factorized,7
72,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_llr,117.8,81.88,170.9,59.6,236.0,llr_factorized,8
73,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.8,80.75,172.7,58.19,242.9,llr_factorized,11
74,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.9,82.03,170.1,60.12,235.7,llr_factorized,8
75,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,117.9,82.58,170.1,61.03,235.6,llr_factorized,8
76,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,117.9,82.27,170.0,60.55,237.0,llr_factorized,10
77,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_min_b_l_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.9,80.02,173.9,56.9,243.9,llr_factorized,9
78,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,117.9,82.41,170.0,60.78,235.5,llr_factorized,9
79,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_llr,117.9,81.72,171.0,59.64,237.7,llr_factorized,6
80,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,118.0,82.36,170.2,60.61,235.8,llr_factorized,9
81,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,118.2,82.25,170.6,60.28,236.3,llr_factorized,8
82,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,118.2,82.53,170.6,60.74,237.8,llr_factorized,10
83,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,118.2,82.53,171.5,60.74,236.9,llr_factorized,6
84,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,118.2,82.53,171.5,60.74,238.4,llr_factorized,10
85,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_min_b_l_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,118.2,81.96,172.5,59.82,241.9,llr_factorized,10
86,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,118.2,82.25,172.5,60.28,240.4,llr_factorized,9
87,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_trijet_pt_rat_x_WW_pt_x_bjets_mbb_llr,118.2,82.41,171.5,59.82,238.4,llr_factorized,7
88,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,118.2,81.81,172.5,59.59,240.4,llr_factorized,8
89,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,118.2,82.25,171.5,60.28,238.4,llr_factorized,8
90,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,118.2,82.1,171.5,60.05,238.4,llr_factorized,10
91,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,118.2,82.47,171.5,60.28,238.4,llr_factorized,8
92,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,118.2,81.38,172.5,58.89,240.4,llr_factorized,10
93,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,118.6,82.73,172.1,60.47,239.1,llr_factorized,10
94,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,118.6,83.24,171.1,60.93,237.0,llr_factorized,6
95,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,118.6,82.79,171.1,60.93,237.0,llr_factorized,8
96,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,118.6,82.22,173.0,60.01,241.2,llr_factorized,10
97,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,118.6,82.65,171.1,60.7,237.0,llr_factorized,9
98,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_llr,118.6,82.07,172.1,59.78,239.1,llr_factorized,7
99,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,118.6,82.51,172.1,60.47,240.6,llr_factorized,8
100,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,118.6,82.22,172.1,60.01,239.1,llr_factorized,11
101,jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_min_b_l_dR_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,118.6,82.22,173.0,60.01,242.7,llr_factorized,8
102,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_min_b_l_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_llr,118.6,81.07,173.9,58.15,243.3,llr_factorized,8
103,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_bjets_dR_x_min_b_l_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_llr,118.6,81.35,173.9,58.62,243.3,llr_factorized,10
104,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_llr,118.6,80.78,174.9,57.69,243.9,llr_factorized,7
105,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_bjets_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_llr,118.8,83.07,171.4,61.26,237.4,llr_factorized,9
106,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,118.8,82.3,172.2,60.07,239.4,llr_factorized,7
107,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_bjets_pt_bb_x_bjets_dR_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,118.8,82.35,172.3,60.1,240.2,llr_factorized,9
108,jj_l_dR_x_WW_mInv_x_bjets_pt_bb_x_trijet_pt_rat_x_WW_pt_x_bjets_mbb_llr,118.8,82.35,172.3,60.1,239.5,llr_factorized,6
109,jj_l_dR_x_jj_lnu_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_trijet_pt_rat_x_blnu_bl_mInv_x_bjets_mbb_x_bjets_dPhi_llr,118.8,81.77,174.7,59.17,245.4,llr_factorized,9
110,jj_l_dR_x_WW_mInv_x_jj_lnu_dPhi_x_bjets_pt_bb_x_jj_l_dPhi_x_min_b_l_dR_x_blnu_bl_mInv_x_WW_pt_x_bjets_mbb_x_bjets_dPhi_llr,118.9,82.39,173.4,60.13,240.2,llr_factorized,10
