llr_name,mu_value,llr_type,n_variables
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,246.25,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,246.25,from_multivar,9
bjets_mbb_x_bjets_pt_bb_x_bjet0_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,246.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,246.5,from_multivar,9
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,246.5,from_multivar,7
bjets_mbb_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,246.625,from_multivar,6
bjets_mbb_x_bjets_pt_bb_x_blnu_pt_llr,246.75,from_multivar,3
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_trijet_pt_llr,246.875,from_multivar,5
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_llr,246.9375,from_multivar,5
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_trijet_pt_llr,246.9688,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_x_trijet_mInv_llr,247.25,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,247.25,from_multivar,8
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_trijet_pt_llr,247.25,from_multivar,5
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_blnu_pt_llr,247.25,from_multivar,4
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_blnu_pt_x_trijet_pt_llr,247.25,from_multivar,5
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,247.625,from_multivar,8
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,247.625,from_multivar,7
bjets_mbb_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,247.875,from_multivar,8
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_pt_rat_llr,247.875,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_x_trijet_pt_rat_llr,247.9375,from_multivar,5
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_trijet_mInv_x_trijet_pt_llr,248.25,from_multivar,5
bjets_mbb_x_bjets_pt_bb_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,248.25,from_multivar,5
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_llr,248.25,from_multivar,4
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_trijet_pt_llr,248.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,248.5,from_multivar,6
bjets_mbb_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_llr,248.625,from_multivar,4
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_llr,248.625,from_multivar,8
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,248.625,from_multivar,8
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_pt_llr,248.8125,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,248.875,from_multivar,8
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_mInv_llr,248.875,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,248.9375,from_multivar,10
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_trijet_mInv_x_trijet_pt_llr,248.9688,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_trijet_pt_llr,248.9688,from_multivar,5
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_trijet_mInv_x_trijet_pt_llr,249.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_trijet_pt_llr,249.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_x_trijet_pt_rat_llr,249.25,from_multivar,6
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_x_trijet_mInv_llr,249.25,from_multivar,5
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_llr,249.25,from_multivar,7
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_llr,249.25,from_multivar,5
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_trijet_pt_llr,249.5,from_multivar,5
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_blnu_mT_x_trijet_pt_llr,249.625,from_multivar,5
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_blnu_pt_x_trijet_mInv_llr,249.75,from_multivar,5
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_trijet_mInv_x_trijet_pt_llr,249.875,from_multivar,5
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_llr,249.9375,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_llr,249.9688,from_multivar,5
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_trijet_mInv_x_trijet_pt_x_trijet_pt_rat_llr,250.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_pt_x_trijet_pt_llr,250.25,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,250.25,from_multivar,9
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_llr,250.625,from_multivar,4
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_llr,250.625,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,250.75,from_multivar,8
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,250.9375,from_multivar,9
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_llr,251.25,from_multivar,8
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_pt_rat_llr,251.25,from_multivar,5
bjets_mbb_x_bjets_pt_bb_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,251.25,from_multivar,5
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_trijet_mInv_x_trijet_pt_llr,251.25,from_multivar,5
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_llr,251.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_blnu_mT_x_blnu_pt_x_trijet_pt_llr,251.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,251.25,from_multivar,7
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_trijet_pt_x_trijet_pt_rat_llr,251.5,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_x_trijet_pt_rat_llr,251.625,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_rat_llr,251.8125,from_multivar,8
bjets_mbb_x_bjets_pt_bb_x_blnu_mT_x_trijet_mInv_x_trijet_pt_llr,251.875,from_multivar,5
bjets_mbb_x_bjets_pt_bb_x_blnu_pt_x_trijet_pt_rat_llr,251.9375,from_multivar,4
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_llr,251.9375,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_x_trijet_pt_rat_llr,251.9688,from_multivar,10
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_bjet0_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,252.25,from_multivar,8
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_llr,252.25,from_multivar,6
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_blnu_pt_x_trijet_mInv_x_trijet_pt_rat_llr,252.25,from_multivar,6
bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_mInv_x_trijet_pt_llr,252.25,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_mT_x_blnu_pt_x_trijet_pt_llr,252.625,from_multivar,7
lep0_pt_x_bjets_mbb_x_bjets_pt_bb_x_bjet1_pt_x_blnu_pt_llr,252.625,from_multivar,5
bjets_mbb_x_bjets_dR_x_bjets_pt_bb_x_blnu_pt_x_trijet_bijet_dR_llr,252.625,from_multivar,5
