group,subprocess,cross-section,num events,size (GB),num files,db
DY,DY_dl_mll_50_1J,1120.0,91293455,138.441680567,330,/DYto2L-2Jets_MLL-50_1J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v3/NANOAODSIM
DY,DY_dl_mll_50_2J,359.7,68804529,125.717040535,408,/DYto2L-2Jets_MLL-50_2J_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v3/NANOAODSIM
VV,WW,80.18,16545000,21.81634594,15,/WW_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv13-133X_mcRun3_2023_realistic_postBPix_ForNanov13_v2-v1/NANOAODSIM
VV,WZ,29.1,8379000,11.120406074,8,/WZ_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv13-133X_mcRun3_2023_realistic_postBPix_ForNanov13_v2-v1/NANOAODSIM
VV,ZZ,12.75,0,0.0,0,/ZZ_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv13-133X_mcRun3_2023_realistic_postBPix_ForNanov13_v2-v1/NANOAODSIMå
QCD,QCD_pT_15to30,1301000000.0,1198520,0.610709905,6,/QCD_PT-15to30_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-EpsilonPU_130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_30to50,113300000.0,1199270,0.806532784,6,/QCD_PT-30to50_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-EpsilonPU_130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_50to80,16760000.0,5988000,5.650584221,25,/QCD_PT-50to80_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_80to120,2534000.0,8967000,10.07662049,36,/QCD_PT-80to120_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_120to170,445800.0,8964000,12.545627665,36,/QCD_PT-120to170_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_170to300,113700.0,8934000,15.375900353,37,/QCD_PT-170to300_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_300to470,7589.0,17354000,34.60975257,83,/QCD_PT-300to470_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_470to600,626.4,8384000,17.914245195,45,/QCD_PT-470to600_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_600to800,178.6,20374000,45.101675782,97,/QCD_PT-600to800_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_800to1000,30.57,11976000,27.539250379,61,/QCD_PT-800to1000_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_1000to1400,8.92,5980000,14.200858665,27,/QCD_PT-1000to1400_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_1400to1800,0.8103,1794000,4.460134811,10,/QCD_PT-1400to1800_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_1800to2400,0.1148,900000,2.331736381,6,/QCD_PT-1800to2400_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_2400to3200,0.007542,599000,1.628226942,5,/QCD_PT-2400to3200_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
QCD,QCD_pT_3200,0.0002331,240000,0.688355715,3,/QCD_PT-3200_TuneCP5_13p6TeV_pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
ttV,TTLNu-1Jets,0.2505,256078,0.760518571,1,/TTLNu-1Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v6-v2/NANOAODSIM
ttV,TTZ-ZtoQQ-1Jets,0.6603,388921,1.264588571,17,/TTZ-ZtoQQ-1Jets_TuneCP5_13p6TeV_amcatnloFXFX-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v6-v2/NANOAODSIM
H,GluGluHto2WtoLNu2Q,4.952,666666,0.985563866,14,/GluGluHto2WtoLNu2Q_M-125_TuneCP5_13p6TeV_powheg-JHUGenV752-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v6-v2/NANOAODSIM
H,GluGluHto2Wto2L2Nu,1.202,1697000,2.569009262,20,/GluGluHto2Wto2L2Nu_M-125_TuneCP5_13p6TeV_powheg-jhugen752-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v6-v2/NANOAODSIM
H,VBFHto2WtoLNu2Q,0.3868,663666,1.16725029,5,/VBFHto2WtoLNu2Q_M-125_TuneCP5_13p6TeV_powheg-JHUGenV752-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v6-v2/NANOAODSIM
H,VBFHto2Wto2L2Nu,0.09389,1688000,3.090446074,30,/VBFHto2Wto2L2Nu_M-125_TuneCP5_13p6TeV_powheg-jhugen752-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v6-v2/NANOAODSIM
H,ZH_Hto2B_Zto2L,0.05527,5556000,11.958031415,66,/ZH_Hto2B_Zto2L_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
H,ZH_Hto2C_Zto2L,0.002744,5532000,11.571441813,65,/ZH_Hto2C_Zto2L_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
H,ZH_ZtoAll_Hto2Wto2L2Nu,0.02171,1243191,2.606145814,58,/ZH_ZtoAll_Hto2Wto2L2Nu_M-125_TuneCP5_13p6TeV_powheg-minlo-HZJ-jhugenv752-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v6-v2/NANOAODSIM
H,ggZH_Hto2B_Zto2L,0.007971,5570000,13.315589086,58,/ggZH_Hto2B_Zto2L_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v3/NANOAODSIM
H,ggZH_Hto2C_Zto2L,0.0003958,5585000,12.880914254,36,/ggZH_Hto2C_Zto2L_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v3/NANOAODSIM
H,WplusH_Hto2B_WtoLNu,0.1679,5497144,10.573279633,166,/WplusH_Hto2B_WtoLNu_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v3/NANOAODSIM
H,WplusH_Hto2C_WtoLNu,0.008334,5551318,10.454015215,206,/WplusH_Hto2C_WtoLNu_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
H,WplusH_HtoZG_WtoAll_Zto2L,0.000138,239513,0.599770605,30,/WplusH_HtoZG_WtoAll_Zto2L_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v6-v2/NANOAODSIM
H,WminusH_Hto2B_WtoLNu,0.1072,5398979,10.349803231,174,/WminusH_Hto2B_WtoLNu_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
H,WminusH_Hto2C_WtoLNu,0.005322,5568160,10.535579311,250,/WminusH_Hto2C_WtoLNu_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
H,WminusH_HtoZG_WtoAll_Zto2L,8.813e-05,418162,1.067869195,42,/WminusH_HtoZG_WtoAll_Zto2L_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v6-v2/NANOAODSIM
H,TTHto2B,0.3304,5576000,17.691916361,68,/TTHto2B_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v3/NANOAODSIM
H,TTHtoNon2B,0.2384,5887987,18.856389312,138,/TTHtoNon2B_M-125_TuneCP5_13p6TeV_powheg-pythia8/Run3Summer23BPixNanoAODv12-130X_mcRun3_2023_realistic_postBPix_v2-v2/NANOAODSIM
