group,subprocess,cross-section,num events,size (GB),num files,db
QCD,QCD_pT_50to80,16760000.0,11988000,11.287136756,47,/QCD_PT-50to80_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_80to120,2534000.0,17979000,20.169579506,67,/QCD_PT-80to120_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_120to170,445800.0,17964000,25.129801504,71,/QCD_PT-120to170_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_170to300,113700.0,17889000,30.764167317,69,/QCD_PT-170to300_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_300to470,7589.0,34626000,68.926304603,130,/QCD_PT-300to470_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_470to600,626.4,16766000,35.795284268,83,/QCD_PT-470to600_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_600to800,178.6,40468000,89.552518855,181,/QCD_PT-600to800_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_800to1000,30.57,23908000,54.947042747,111,/QCD_PT-800to1000_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_1000to1400,8.92,11956000,28.42938056,61,/QCD_PT-1000to1400_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_1400to1800,0.8103,3596000,8.951107745,21,/QCD_PT-1400to1800_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_1800to2400,0.1148,1792000,4.644397671,11,/QCD_PT-1800to2400_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
QCD,QCD_pT_2400to3200,0.007542,1200000,3.256294293,7,/QCD_PT-2400to3200_TuneCP5_13p6TeV_pythia8/Run3Summer23NanoAODv12-130X_mcRun3_2023_realistic_v14-v2/NANOAODSIM
